time,heap,rss,score,score_debug,recent_feature,entire_feature,s_recent:heap,s_recent:rss,s_entire:heap,s_entire:rss
2025-08-26T18:09:44Z,70811648,155426816,0.059,0.034,0.0678,0.0000,0.0010,0.2224,0.0000,0.0000
2025-08-26T18:09:49Z,51757056,152518656,0.056,0.032,0.0640,0.0000,0.0010,0.2099,0.0000,0.0000
2025-08-26T18:09:54Z,65658880,161632256,0.053,0.030,0.0604,0.0000,0.0009,0.1982,0.0000,0.0000
2025-08-26T18:09:59Z,59129856,153010176,0.050,0.028,0.0570,0.0000,0.0009,0.1870,0.0000,0.0000
2025-08-26T18:10:04Z,77086720,158101504,0.047,0.027,0.0538,0.0000,0.0008,0.1765,0.0000,0.0000
2025-08-26T18:10:09Z,58204160,156065792,0.044,0.025,0.0508,0.0000,0.0008,0.1666,0.0000,0.0000
2025-08-26T18:10:14Z,40378368,151588864,0.042,0.024,0.0479,0.0000,0.0007,0.1573,0.0000,0.0000
2025-08-26T18:10:19Z,39411712,129146880,0.040,0.023,0.0452,0.0000,0.0007,0.1485,0.0000,0.0000
2025-08-26T18:10:24Z,57065472,145092608,0.037,0.021,0.0427,0.0000,0.0007,0.1401,0.0000,0.0000
2025-08-26T18:10:29Z,34340864,126251008,0.035,0.020,0.0403,0.0000,0.0006,0.1323,0.0000,0.0000
2025-08-26T18:10:34Z,35364864,131375104,0.033,0.019,0.0380,0.0000,0.0006,0.1248,0.0000,0.0000
2025-08-26T18:10:39Z,35405824,131375104,0.031,0.018,0.0359,0.0000,0.0006,0.1178,0.0000,0.0000
2025-08-26T18:10:44Z,35430400,131375104,0.030,0.017,0.0339,0.0000,0.0005,0.1112,0.0000,0.0000
2025-08-26T18:10:49Z,44277760,131989504,0.028,0.016,0.0320,0.0000,0.0005,0.1050,0.0000,0.0000
2025-08-26T18:10:54Z,46833664,132526080,0.026,0.015,0.0302,0.0000,0.0005,0.0991,0.0000,0.0000
2025-08-26T18:10:59Z,36175872,132526080,0.025,0.014,0.0285,0.0000,0.0004,0.0935,0.0000,0.0000
2025-08-26T18:11:04Z,46530560,138698752,0.024,0.013,0.0269,0.0000,0.0004,0.0883,0.0000,0.0000
2025-08-26T18:11:10Z,51666944,145137664,0.022,0.013,0.0254,0.0000,0.0004,0.0833,0.0000,0.0000
2025-08-26T18:11:15Z,36478976,136327168,0.021,0.012,0.0240,0.0000,0.0004,0.0786,0.0000,0.0000
2025-08-26T18:11:20Z,39198720,134766592,0.020,0.011,0.0226,0.0000,0.0003,0.0742,0.0000,0.0000
2025-08-26T18:11:25Z,46645248,145162240,0.019,0.011,0.0213,0.0000,0.0003,0.0701,0.0000,0.0000
2025-08-26T18:11:30Z,53387264,135954432,0.018,0.010,0.0201,0.0000,0.0003,0.0661,0.0000,0.0000
2025-08-26T18:11:35Z,38002688,137203712,0.017,0.010,0.0190,0.0000,0.0003,0.0624,0.0000,0.0000
2025-08-26T18:11:40Z,56205312,140185600,0.016,0.009,0.0180,0.0000,0.0003,0.0589,0.0000,0.0000
2025-08-26T18:11:45Z,35291136,139214848,0.015,0.008,0.0169,0.0000,0.0003,0.0556,0.0000,0.0000
2025-08-26T18:11:50Z,37617664,134176768,0.014,0.008,0.0160,0.0000,0.0002,0.0525,0.0000,0.0000
2025-08-26T18:11:55Z,51798016,145469440,0.013,0.008,0.0151,0.0000,0.0002,0.0495,0.0000,0.0000
2025-08-26T18:12:00Z,34619392,138625024,0.012,0.007,0.0142,0.0000,0.0002,0.0468,0.0000,0.0000
2025-08-26T18:12:05Z,66199552,150843392,0.012,0.007,0.0134,0.0000,0.0002,0.0441,0.0000,0.0000
2025-08-26T18:12:10Z,48234496,156352512,0.011,0.006,0.0127,0.0000,0.0002,0.0417,0.0000,0.0000
2025-08-26T18:12:15Z,66134016,142901248,0.010,0.006,0.0120,0.0000,0.0002,0.0393,0.0000,0.0000
2025-08-26T18:12:20Z,60882944,149504000,0.010,0.006,0.0113,0.0000,0.0002,0.0371,0.0000,0.0000
2025-08-26T18:12:25Z,60882944,142860288,0.009,0.005,0.0107,0.0000,0.0002,0.0350,0.0000,0.0000
2025-08-26T18:12:30Z,49938432,150552576,0.009,0.005,0.0101,0.0000,0.0002,0.0331,0.0000,0.0000
2025-08-26T18:12:35Z,51625984,150593536,0.008,0.005,0.0095,0.0000,0.0001,0.0312,0.0000,0.0000
2025-08-26T18:12:40Z,53559296,148746240,0.008,0.004,0.0090,0.0000,0.0001,0.0295,0.0000,0.0000
2025-08-26T18:12:45Z,49324032,141303808,0.007,0.004,0.0085,0.0000,0.0001,0.0278,0.0000,0.0000
2025-08-26T18:12:50Z,49274880,148332544,0.007,0.004,0.0080,0.0000,0.0001,0.0262,0.0000,0.0000
2025-08-26T18:12:55Z,69320704,153702400,0.020,0.011,0.0230,0.0000,0.0001,0.0762,0.0000,0.0000
2025-08-26T18:13:00Z,41918464,139026432,0.033,0.019,0.0380,0.0000,0.0001,0.1262,0.0000,0.0000
2025-08-26T18:13:05Z,45654016,135573504,0.046,0.026,0.0527,0.0000,0.0001,0.1753,0.0000,0.0000
2025-08-26T18:13:10Z,42901504,127279104,0.058,0.033,0.0666,0.0000,0.0001,0.2216,0.0000,0.0000
2025-08-26T18:13:15Z,33914880,125104128,0.069,0.040,0.0797,0.0000,0.0001,0.2653,0.0000,0.0000
